hostname,OStype,"AIX_Machine_SerialNumber","AIX_virtualcpus","AIX_logicalcores","AIX_entitled","AIX_LEVEL","AIX_processor_mode","AIX_processor_clockspeed","AIX_cpu_type","AIX_kernel_type","AIX_plateform_firmware_level","AIX_PoolID","AIX_system_installed_CPUs","AIX_system_active_CPUs","AIX_PoolCPUs","AIX_memory_MB","AIX_pagingspace_MB","Linux_memory_MB","Linux_swap_MB","Linux_distribution","Linux_vendor","Linux_kernelversion","Solaris_version","Solaris_sunOS_version","Solaris_processor_clockspeed","Solaris_physical_memory_MB",Processor,"cpu_cores","nmon_version","uptime_seconds","uptime_duration","system_startup_date","reporting_date",OSversion,"Physical_mem_MB","Virtual_mem_MB"
SPU00C4K,AIX,06D939P,3,12,"1.70","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",1,64,58,30,54272,11776,,,,Undeterminated,,,,,,"PowerPC_POWER7","3 / 12","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",54272,11776
SPU00C4R,AIX,06D939P,2,8,"1.20","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",1,64,58,30,14336,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",14336,8704
SPU00C4S,AIX,06D939P,2,8,"1.20","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",1,64,58,30,14336,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",14336,8704
SPU00CB2,AIX,219840V,4,16,"1.00","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,11264,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","4 / 16","TOPAS-NMON",15987600,"185+01:00:00","12/26/2015 23:00","06/19/2016 00:00","6.1.9.16",11264,8704
SPU00G45,AIX,219840V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,4096,4608,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",15987600,"185+01:00:00","12/26/2015 23:00","06/19/2016 00:00","6.1.9.16",4096,4608
SPU00H31,AIX,06E9A6T,1,4,"0.10","6.1.8.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,24,24,3072,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",15642000,"181+01:00:00","12/30/2015 23:00","06/19/2016 00:00","6.1.8.16",3072,8704
SPU00J21,AIX,519EDB2,1,2,"0.10","6.1.9.16","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",0,64,50,50,2048,4608,,,,Undeterminated,,,,,,"PowerPC_POWER6","1 / 2",12e,,,,"06/19/2016 00:00","6.1.9.16",2048,4608
SPU00K23,AIX,219840V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,2048,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",17802000,"206+01:00:00","12/05/2015 23:00","06/19/2016 00:00","6.1.9.16",2048,8704
SPU00K53,AIX,219840V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,5120,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",17802000,"206+01:00:00","12/05/2015 23:00","06/19/2016 00:00","6.1.9.16",5120,8704
SPU00N23,AIX,219840V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,3072,12800,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",15296400,"177+01:00:00","01/03/2016 23:00","06/19/2016 00:00","6.1.9.16",3072,12800
SPU00N40,AIX,219840V,2,8,"0.20","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,10240,6656,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",15296400,"177+01:00:00","01/03/2016 23:00","06/19/2016 00:00","6.1.9.16",10240,6656
SPU00N82,AIX,219840V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,10240,6656,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",15296400,"177+01:00:00","01/03/2016 23:00","06/19/2016 00:00","6.1.9.16",10240,6656
SPU00Q2A,AIX,65638EP,2,8,"0.20","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,56,56,3072,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",3072,8704
SPU00Q43,AIX,519EDB2,9,18,"1.20","6.1.2.2","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",0,64,50,50,34816,18432,,,,Undeterminated,,,,,,"PowerPC_POWER6","9 / 18",12e,,,,"06/19/2016 00:00","6.1.2.2",34816,18432
SPU00Q46,AIX,519EDB2,7,14,"1.00","6.1.2.2","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",0,64,50,50,13824,8704,,,,Undeterminated,,,,,,"PowerPC_POWER6","7 / 14",12e,,,,"06/19/2016 00:00","6.1.2.2",13824,8704
SPU00V05,AIX,833BA34,2,4,"0.20","6.1.2.2","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",1,64,64,33,,10240,,,,Undeterminated,,,,,,"PowerPC_POWER6","2 / 4","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.2.2",,10240
SPU00V10,AIX,833BA34,3,6,"0.30","6.1.2.2","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",1,64,64,33,,16384,,,,Undeterminated,,,,,,"PowerPC_POWER6","3 / 6","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.2.2",,16384
SPU01A17,AIX,06E9B2T,2,8,"0.60","6.1.8.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,28,28,4096,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",2941200,"34+01:00:00","05/26/2016 00:00","06/19/2016 00:00","6.1.8.16",4096,8704
SPU01A22,AIX,06D93AP,1,2,"0.10","6.1.2.8","POWER 6","3108 MHz","64-bit","64-bit","AM780_068",0,64,58,58,2048,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 2","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.2.8",2048,8704
SPU01A29,AIX,06E9B2T,2,8,"0.20","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,28,28,,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8",12e,,,,"06/19/2016 00:00","6.1.9.16",,8704
SPU01A90,AIX,06E9B2T,1,4,"0.10","6.1.8.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,28,28,3072,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",4410000,"51+01:00:00","05/09/2016 00:00","06/19/2016 00:00","6.1.8.16",3072,8704
SPU01C22,AIX,219836V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,2048,4608,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",4410000,"51+01:00:00","05/09/2016 00:00","06/19/2016 00:00","6.1.9.16",2048,4608
SPU01C2M,AIX,06D93AP,2,8,"1.00","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,58,58,1536,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",1536,8704
SPU01C2O,AIX,06D93AP,1,4,"0.10","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,58,58,2048,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",2048,8704
SPU01C47,AIX,219836V,2,8,"0.40","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,9216,4608,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",4410000,"51+01:00:00","05/09/2016 00:00","06/19/2016 00:00","6.1.9.16",9216,4608
SPU01C4A,AIX,219836V,1,4,"1.00","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,8192,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",4410000,"51+01:00:00","05/09/2016 00:00","06/19/2016 00:00","6.1.9.16",8192,8704
SPU01C4Q,AIX,06D93AP,2,8,"1.20","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",1,64,58,30,14336,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",14336,8704
SPU01C4U,AIX,06D93AP,1,4,"0.20","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",1,64,58,30,6144,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",6144,8704
SPU01C57,AIX,219836V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,10240,4608,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",4410000,"51+01:00:00","05/09/2016 00:00","06/19/2016 00:00","6.1.9.16",10240,4608
SPU01C70,AIX,219836V,3,12,"0.30","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,6144,4608,,,,Undeterminated,,,,,,"PowerPC_POWER7","3 / 12","TOPAS-NMON",4410000,"51+01:00:00","05/09/2016 00:00","06/19/2016 00:00","6.1.9.16",6144,4608
SPU01C73,AIX,219836V,3,12,"0.30","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,6144,4608,,,,Undeterminated,,,,,,"PowerPC_POWER7","3 / 12","TOPAS-NMON",4410000,"51+01:00:00","05/09/2016 00:00","06/19/2016 00:00","6.1.9.16",6144,4608
SPU01C77,AIX,219836V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,13312,4608,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",4410000,"51+01:00:00","05/09/2016 00:00","06/19/2016 00:00","6.1.9.16",13312,4608
SPU01C78,AIX,219836V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,8192,4608,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",4410000,"51+01:00:00","05/09/2016 00:00","06/19/2016 00:00","6.1.9.16",8192,4608
SPU01C84,AIX,219836V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,6144,4608,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",4410000,"51+01:00:00","05/09/2016 00:00","06/19/2016 00:00","6.1.9.16",6144,4608
SPU01C8B,AIX,219836V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,2048,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",4410000,"51+01:00:00","05/09/2016 00:00","06/19/2016 00:00","6.1.9.16",2048,8704
SPU01CB5,AIX,219836V,4,16,"0.60","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,6144,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","4 / 16","TOPAS-NMON",4410000,"51+01:00:00","05/09/2016 00:00","06/19/2016 00:00","6.1.9.16",6144,8704
SPU01G51,AIX,219836V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,4096,4608,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",4410000,"51+01:00:00","05/09/2016 00:00","06/19/2016 00:00","6.1.9.16",4096,4608
SPU01I2A,AIX,519F392,3,6,"0.30","6.1.2.2","POWER 6","4208 MHz","64-bit","64-bit","EH350_166",0,64,50,50,3072,8704,,,,Undeterminated,,,,,,"PowerPC_POWER6","3 / 6",12e,,,,"06/19/2016 00:00","6.1.2.2",3072,8704
SPU01I2C,AIX,519F392,3,6,"0.30","6.1.2.2","POWER 6","4208 MHz","64-bit","64-bit","EH350_166",0,64,50,50,3072,8704,,,,Undeterminated,,,,,,"PowerPC_POWER6","3 / 6",12e,,,,"06/19/2016 00:00","6.1.2.2",3072,8704
SPU01I2L,AIX,65638FP,2,8,"0.20","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,56,56,3072,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",3072,8704
SPU01I45,AIX,519F392,1,2,"0.20","6.1.2.2","POWER 6","4208 MHz","64-bit","64-bit","EH350_166",0,64,50,50,8192,4608,,,,Undeterminated,,,,,,"PowerPC_POWER6","1 / 2",12e,,,,"06/19/2016 00:00","6.1.2.2",8192,4608
SPU01J42,AIX,519F392,1,2,"0.10","6.1.5.4","POWER 6","4208 MHz","64-bit","64-bit","EH350_166",0,64,50,50,5632,8704,,,,Undeterminated,,,,,,"PowerPC_POWER6","1 / 2",12e,,,,"06/19/2016 00:00","6.1.5.4",5632,8704
SPU01K07,AIX,65905CC,1,2,"0.10","6.1.9.16","POWER 6","4208 MHz","64-bit","64-bit","EH350_166",0,64,58,58,3072,4608,,,,Undeterminated,,,,,,"PowerPC_POWER6","1 / 2","TOPAS-NMON",2941200,"34+01:00:00","05/26/2016 00:00","06/19/2016 00:00","6.1.9.16",3072,4608
SPU01K20,AIX,219836V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,2048,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",4410000,"51+01:00:00","05/09/2016 00:00","06/19/2016 00:00","6.1.9.16",2048,8704
SPU01K44,AIX,219836V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,4096,4608,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",4410000,"51+01:00:00","05/09/2016 00:00","06/19/2016 00:00","6.1.9.16",4096,4608
SPU01K45,AIX,219836V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,4096,4608,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",4410000,"51+01:00:00","05/09/2016 00:00","06/19/2016 00:00","6.1.9.16",4096,4608
SPU01K52,AIX,219836V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,5120,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",4410000,"51+01:00:00","05/09/2016 00:00","06/19/2016 00:00","6.1.9.16",5120,8704
SPU01N44,AIX,219836V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,5120,12800,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",4410000,"51+01:00:00","05/09/2016 00:00","06/19/2016 00:00","6.1.9.16",5120,12800
SPU01N49,AIX,219836V,2,8,"0.20","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,10240,12800,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",4410000,"51+01:00:00","05/09/2016 00:00","06/19/2016 00:00","6.1.9.16",10240,12800
SPU02E01,AIX,833BA34,18,36,"7.00","6.1.6.15","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",1,64,64,33,69631,10752,,,,Undeterminated,,,,,,"PowerPC_POWER6","18 / 36","TOPAS-NMON",,,,"06/25/2016 00:00","6.1.6.15",69631,10752
SPU02G21,AIX,219840V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,2048,7680,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",6829200,"79+01:00:00","04/11/2016 00:00","06/19/2016 00:00","6.1.9.16",2048,7680
SPU02G23,AIX,219840V,1,4,"0.30","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,4096,8960,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",1386000,"16+01:00:00","06/13/2016 00:00","06/19/2016 00:00","6.1.9.16",4096,8960
SPU02J80,AIX,65638EP,2,8,"0.40","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",1,64,56,20,4096,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",4096,8704
SPU02L40,AIX,06D939P,1,4,"0.30","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",1,64,58,30,12288,3840,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",12288,3840
SPU02L42,AIX,06D939P,1,4,"0.30","6.1.6.15","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",1,64,58,30,12288,3840,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.6.15",12288,3840
SPU03J40,AIX,65638FP,2,8,"0.20","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",1,64,56,20,5632,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",5632,8704
SPU03L21,AIX,06D93AP,1,4,"0.10","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,58,58,2048,3584,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",2048,3584
SPU0AQ01,AIX,834B35F,3,6,"0.30","6.1.9.16","POWER 5","2102 MHz","64-bit","64-bit","SF240_358",0,64,30,30,8192,8192,,,,Undeterminated,,,,,,"PowerPC_POWER5","3 / 6",12e,,,,"06/19/2016 00:00","6.1.9.16",8192,8192
SPU0B801,AIX,834B35F,1,2,"0.10","5.3.0.69",,"2102 MHz","64-bit","64-bit","SF240_358",0,64,30,30,10240,4608,,,,Undeterminated,,,,,,"PowerPC_POWER5","1 / 2",v11e,,,,"06/19/2016 00:00","5.3.0.69",10240,4608
SPU0DM01,Solaris,,,"",,,,,,,,,,,,,,,,"                   Oracle Solaris 10 1/13 s10s_u11wos_24a SPARC",Undeterminated,,"Oracle Solaris 10 1/13 s10s_u11wos_24a SPARC","5.10","2520 MHz",98304,"SPARC64-VII ",24,"1.10 64-bit",,,,"06/25/2016 00:01","Oracle Solaris 10 1/13 s10s_u11wos_24a SPARC",98304,"N/A"
SPU0DM05,Solaris,,,"",,,,,,,,,,,,,,,,"                   Oracle Solaris 10 1/13 s10s_u11wos_24a SPARC",Undeterminated,,"Oracle Solaris 10 1/13 s10s_u11wos_24a SPARC","5.10","2520 MHz",65536,"SPARC64-VII ",16,"1.10 64-bit",,,,"06/25/2016 00:01","Oracle Solaris 10 1/13 s10s_u11wos_24a SPARC",65536,"N/A"
SPU0LA01,AIX,219840V,1,4,"0.20","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,4096,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",4582800,"53+01:00:00","05/07/2016 00:00","06/19/2016 00:00","6.1.9.16",4096,8704
SPU0M101,AIX,833BA34,4,8,"0.40","6.1.5.4","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",0,64,64,64,16384,25088,,,,Undeterminated,,,,,,"PowerPC_POWER6","4 / 8","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",16384,25088
SPU0SW04,AIX,21983CV,2,8,"1.00","7.1.2.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_068",0,64,6,6,8192,10240,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",3027600,"35+01:00:00","05/25/2016 00:00","06/19/2016 00:00","7.1.2.16",8192,10240
SPU0W903,AIX,65638EP,1,4,"0.10","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,56,56,4096,512,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",4096,512
SPU0WA35,AIX,1084E0B,4,8,"1.50","6.1.5.4","POWER 5","1902 MHz","64-bit","64-bit","SF240_417",0,16,14,14,10240,10240,,,,Undeterminated,,,,,,"PowerPC_POWER5","4 / 8","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",10240,10240
SPU0WA51,AIX,1084E0B,2,4,"0.20","6.1.5.4","POWER 5","1902 MHz","64-bit","64-bit","SF240_417",0,16,14,14,4096,512,,,,Undeterminated,,,,,,"PowerPC_POWER5","2 / 4","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",4096,512
